Short 90% tail latency vs. long:short request ratio,90% latency of SHORT requests (ms)
Prevalence of long requests (%),baseline,baseline+libgotcha,baseline+libturquoise
0,1.3292857142857142,1.2935714285714287,1.2957142857142858
0.2,3.2221428571428573,5.437857142857143,1.7685714285714287
0.4,18.074285714285714,23.924285714285714,2.280714285714286
0.6,25.37285714285714,33.68357142857143,2.6678571428571427
0.8,29.98285714285714,32.99142857142857,2.7185714285714284
1,33.887857142857145,37.675,2.7471428571428573
1.2,32.291428571428572,38.550,3.2971428571428573
1.4,34.65857142857143,38.290,3.2214285714285716
1.6,35.950,40.472142857142855,3.285714285714286
1.8,37.037857142857145,41.53142857142857,3.3378571428571427
2,36.157142857142855,40.562857142857145,3.455714285714286
